FileName,Condition,Length sek,Frames,Static,Dynamic,Indoor,Outdoor,Boundary,Constrained,Uneven,Road,Crowd,Slope,Single
95_A_Spot_EERC_Ahg_Thu_Nov_11_80_dynamic_path.mkv,Day,3.6,216,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0
96_A_Spot_Fountain_Library_Mon_Nov_8_26_dynamic_path.mkv,Day,4.4,264,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0
97_A_Spot_GeorgeWashington_Mccombs_Wed_Nov_10_59_dynamic_path.mkv,Day,2.2,132,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0
98_A_Spot_JCL_JCL_Wed_Nov_10_66_indoor_dynamic.mkv,Day,3.4,204,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
99_A_Spot_Jester_Jester_Wed_Nov_10_63_dynamic_inside.mkv,Day,5.2,312,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
100_A_Spot_Jester_Jester_Wed_Nov_10_64_dynamic_inside.mkv,Day,5.4,324,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
101_A_Spot_LBJ_Stadium_Sat_Nov_13_105_dynamic_path_wide.mkv,Day,8.8,528,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0
102_A_Spot_LBJ_Stadium_Sat_Nov_13_105_dynamic_uneven.mkv,Day,6.2,372,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0
103_A_Spot_Lbj_Thompson_Sat_Nov_13_99_dynamic_uneven.mkv,Day,8.4,504,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0
104_A_Spot_Library_AHG_Fri_Nov_12_86_dynamic_outside.mkv,Day,18.517,1111,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
105_A_Spot_Library_MLK_Thu_Nov_18_122_inside_dynamic.mkv,Day,8.6,516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
